City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,0.19,86,65,10.08,GS,1701977131
1,kodiak,57.79,-152.4072,2.73,70,20,6.17,US,1701977131
2,nuriootpa,-34.4833,139.0,28.2,44,92,6.08,AU,1701977131
3,adamstown,-25.066,-130.1015,22.71,77,11,5.57,PN,1701977131
4,launceston,-41.45,147.1667,11.8,93,100,4.12,AU,1701977121
5,mahina,-17.5065,-149.489,27.87,78,75,2.06,PF,1701977132
6,nizhniy odes,63.6445,54.856,-33.64,100,81,0.79,RU,1701977132
7,port-aux-francais,-49.35,70.2167,4.09,73,93,13.81,TF,1701977133
8,guerrero negro,27.9769,-114.0611,21.31,57,0,6.99,MX,1701977133
9,albany,42.6001,-73.9662,-0.11,84,100,1.02,US,1701976946
10,ushuaia,-54.8,-68.3,12.79,62,0,8.75,AR,1701976894
11,bilibino,68.0546,166.4372,-37.02,100,82,1.0,RU,1701977134
12,chonchi,-42.6128,-73.8092,20.56,41,0,0.71,CL,1701977134
13,antonio enes,-16.2325,39.9086,26.11,74,48,4.44,MZ,1701977134
14,waitangi,-43.9535,-176.5597,13.23,84,60,0.89,NZ,1701976995
15,gustavsberg,59.3268,18.3898,0.1,96,100,5.66,SE,1701977135
16,tura,25.5198,90.2201,16.54,97,100,2.15,IN,1701977135
17,puerto ayora,-0.7393,-90.3518,30.98,78,99,4.52,EC,1701977135
18,tiksi,71.6872,128.8694,-33.17,99,78,2.64,RU,1701977136
19,badger,64.8,-147.5333,-18.05,85,40,3.6,US,1701977136
20,blackmans bay,-43.0167,147.3167,11.4,90,100,1.31,AU,1701977136
21,sogndal,61.2283,7.1003,-4.79,93,20,0.0,NO,1701977136
22,turpan,42.9333,89.1667,0.95,53,95,0.46,CN,1701977137
23,margaret river,-33.95,115.0667,14.01,74,1,5.12,AU,1701977137
24,edinburgh of the seven seas,-37.0676,-12.3116,14.9,82,100,6.91,SH,1701977125
25,naranjos,21.35,-97.6833,21.59,82,100,0.34,MX,1701977138
26,pop,40.8736,71.1089,4.27,38,100,0.52,UZ,1701977138
27,ponta delgada,37.7333,-25.6667,18.44,72,20,4.12,PT,1701977138
28,gadzhiyevo,69.2551,33.3362,-15.79,98,83,6.54,RU,1701977139
29,carolina beach,34.0352,-77.8936,13.03,48,0,1.34,US,1701977139
30,tolanaro,-25.0319,46.9987,22.04,94,75,5.14,MG,1701977139
31,iqaluit,63.7506,-68.5145,-15.15,84,20,5.66,CA,1701977140
32,ulanhot,46.0833,122.0833,-12.7,96,44,1.0,CN,1701977140
33,coquimbo,-29.9533,-71.3436,18.85,68,20,6.17,CL,1701977046
34,vilyuchinsk,52.9306,158.4028,-6.71,78,100,2.58,RU,1701977140
35,ngama,11.7833,17.1667,27.15,14,100,4.4,TD,1701977141
36,hermanus,-34.4187,19.2345,18.99,89,7,5.12,ZA,1701977141
37,mujiayingzi,42.1167,118.7833,1.91,48,39,4.25,CN,1701977141
38,afaahiti,-17.75,-149.2833,26.93,85,100,8.86,PF,1701977141
39,kasama,-10.2129,31.1808,19.27,86,100,1.29,ZM,1701977142
40,tashtyp,52.7939,89.8983,-14.74,77,100,5.05,RU,1701977142
41,port alfred,-33.5906,26.891,20.1,96,13,0.45,ZA,1701977142
42,caburan,5.9181,125.6411,26.35,84,65,4.3,PH,1701977142
43,stanley,54.868,-1.6985,4.6,96,75,7.72,GB,1701977143
44,huangmei,30.1924,116.025,12.3,76,100,0.8,CN,1701977143
45,choibalsan,48.0667,114.5,-13.68,84,100,6.93,MN,1701977143
46,hamilton,39.1834,-84.5333,13.28,54,0,6.69,US,1701976533
47,anadyr,64.75,177.4833,-20.72,84,20,13.0,RU,1701977144
48,mhamid,29.82,-5.72,18.6,32,100,1.02,MA,1701977144
49,manay,7.215,126.5397,25.48,86,14,3.03,PH,1701977144
50,pestravka,52.405,49.9583,-18.13,96,8,2.97,RU,1701977145
51,puerto natales,-51.7236,-72.4875,17.25,42,0,5.66,CL,1701977145
52,pathein,16.7833,94.7333,24.13,91,25,1.02,MM,1701977145
53,quellon,-43.1167,-73.6167,15.3,64,0,4.49,CL,1701977145
54,queenstown,-31.8976,26.8753,17.34,71,60,1.27,ZA,1701977146
55,georgetown,5.4112,100.3354,25.96,92,20,1.03,MY,1701977146
56,novodvinsk,64.4165,40.8122,-26.23,97,25,1.72,RU,1701977146
57,thompson,55.7435,-97.8558,-7.91,93,75,0.0,CA,1701977146
58,talnakh,69.4865,88.3972,-33.43,92,38,1.55,RU,1701977147
59,atafu village,-8.5421,-172.5159,28.85,75,99,2.69,TK,1701977147
60,bethel,41.3712,-73.414,2.9,74,100,2.06,US,1701977147
61,flin flon,54.7682,-101.865,-3.09,93,100,0.0,CA,1701977147
62,papatowai,-46.5619,169.4708,12.89,58,97,4.56,NZ,1701977153
63,praia da vitoria,38.7333,-27.0667,17.64,82,20,5.86,PT,1701977063
64,ribeira grande,38.5167,-28.7,18.22,82,20,7.6,PT,1701977153
65,quiberon,47.4841,-3.1196,12.89,94,100,4.02,FR,1701977153
66,chadron,42.8294,-102.9999,16.86,33,0,12.86,US,1701977154
67,greymouth,-42.4667,171.2,12.8,69,88,0.86,NZ,1701977154
68,crane,31.3974,-102.3501,22.17,29,0,4.57,US,1701977154
69,ha tinh,18.3333,105.9,18.26,81,100,1.31,VN,1701977155
70,itapaci,-14.9508,-49.5494,37.41,19,5,1.79,BR,1701977155
71,campo gallo,-26.5833,-62.85,32.0,29,0,5.46,AR,1701977155
72,yellowknife,62.456,-114.3525,-10.71,92,75,3.6,CA,1701977155
73,ust-nera,64.5667,143.2,-36.67,89,100,1.1,RU,1701977156
74,castillos,-34.1667,-53.8333,19.64,73,46,8.19,UY,1701977156
75,kuloy,61.0305,42.4925,-19.39,99,82,1.61,RU,1701977156
76,gisborne,-38.6533,178.0042,15.62,74,100,0.79,NZ,1701977156
77,eregli,37.5133,34.0467,9.73,61,100,1.04,TR,1701977157
78,ilha de mocambique,-15.0342,40.7358,27.15,73,3,5.72,MZ,1701977157
79,ilulissat,69.2167,-51.1,-0.99,47,20,1.54,GL,1701977157
80,caleta de carquin,-11.0925,-77.6267,22.59,73,27,4.89,PE,1701977157
81,sept-iles,50.2001,-66.3821,-4.97,63,20,3.09,CA,1701977158
82,deqen,29.9618,90.7188,-0.51,93,100,1.29,CN,1701977158
83,avarua,-21.2078,-159.775,26.03,65,40,7.2,CK,1701977158
84,zhangatas,43.5667,69.75,-2.7,49,100,5.71,KZ,1701977158
85,acarau,-2.8856,-40.12,29.77,64,12,8.37,BR,1701977159
86,hammerfest,70.6634,23.6821,-4.75,63,0,5.14,NO,1701977159
87,mul,20.0667,79.6667,19.62,93,42,1.38,IN,1701977159
88,mugia,43.1041,-9.2179,15.09,82,100,7.0,ES,1701977159
89,mossel bay,-34.1831,22.146,21.96,76,0,3.13,ZA,1701977160
90,anori,-3.7728,-61.6442,34.7,43,64,0.76,BR,1701977160
91,cockburn town,21.4612,-71.1419,25.35,67,100,8.31,TC,1701977160
92,barcelos,41.5388,-8.6151,14.08,91,99,3.04,PT,1701976977
93,college,64.8569,-147.8028,-18.01,84,20,3.6,US,1701977161
94,fort st. john,56.2499,-120.8529,-4.06,80,20,5.66,CA,1701977161
95,luena,-11.7833,19.9167,18.1,94,75,8.75,AO,1701977161
96,haiku-pauwela,20.9219,-156.3051,25.58,74,20,3.09,US,1701977161
